prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
8536853,Pads,Period Care,Health & Beauty,8892809,8892806,15083
1083455,Chewables,Vitamins & Supplements,Health & Beauty,835060837,8907425,15083
1083455,Immunity,Vitamins & Supplements,Health & Beauty,8907437,8907425,15083
3979981,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
4959924,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
4959935,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
6319424,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
6319526,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
6811527,Pads,Period Care,Health & Beauty,8892809,8892806,15083
9001782,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
9001782,Bone And Joint Health,Vitamins & Supplements,Health & Beauty,8907428,8907425,15083
1083444,Chewables,Vitamins & Supplements,Health & Beauty,835060837,8907425,15083
1083444,Energy Support,Vitamins & Supplements,Health & Beauty,8907432,8907425,15083
1083477,Chewables,Vitamins & Supplements,Health & Beauty,835060837,8907425,15083
1083477,Beauty,Vitamins & Supplements,Health & Beauty,835066699,8907425,15083
1083499,Chewables,Vitamins & Supplements,Health & Beauty,835060837,8907425,15083
1083499,Womens Health,Vitamins & Supplements,Health & Beauty,835061595,8907425,15083
3977771,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
3978027,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
5293529,Face Moisturiser,Skin Care,Health & Beauty,14494,14533,15083
5325512,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
5325512,Multivitamins,Vitamins & Supplements,Health & Beauty,835061361,8907425,15083
5325512,Womens Health,Vitamins & Supplements,Health & Beauty,835061595,8907425,15083
5325523,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
5325523,Multivitamins,Vitamins & Supplements,Health & Beauty,835061361,8907425,15083
5325523,Mens Health,Vitamins & Supplements,Health & Beauty,835061702,8907425,15083
6319388,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
7524393,Toothpaste,Dental Care,Health & Beauty,14279,14345,15083
7524393,Sensitive Toothpaste,Dental Care,Health & Beauty,601089297,14345,15083
9105890,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
9105890,Multivitamins,Vitamins & Supplements,Health & Beauty,835061361,8907425,15083
9688890,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
9688890,Muscle Support,Vitamins & Supplements,Health & Beauty,835061367,8907425,15083
9688890,Bone And Joint Health,Vitamins & Supplements,Health & Beauty,8907428,8907425,15083
2794164,Sun Care,Sun Protection,Health & Beauty,8907421,8907420,15083
2995814,Sun Care,Sun Protection,Health & Beauty,8907421,8907420,15083
7535323,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
6357219,Soap & Hand Wash,Shower & Bath Care,Health & Beauty,14568,14598,15083
6357219,Body Wash,Shower & Bath Care,Health & Beauty,14596,14598,15083
6358040,Soap & Hand Wash,Shower & Bath Care,Health & Beauty,14568,14598,15083
3283568,Sun Care,Sun Protection,Health & Beauty,8907421,8907420,15083
4256786,Colouring,Hair Care,Health & Beauty,14447,14459,15083
7535345,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
8138431,Sun Care,Sun Protection,Health & Beauty,8907421,8907420,15083
6358051,Soap & Hand Wash,Shower & Bath Care,Health & Beauty,14568,14598,15083
4866674,Toothpaste,Dental Care,Health & Beauty,14279,14345,15083
4866674,Dental Whitening,Dental Care,Health & Beauty,601089270,14345,15083
3417788,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
3980426,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
3980459,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
3980481,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
4256276,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4256287,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4256312,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4256323,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4256334,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4256345,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4256775,Colouring,Hair Care,Health & Beauty,14447,14459,15083
4477118,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
5259510,Colouring,Hair Care,Health & Beauty,14447,14459,15083
5934634,Toothpaste,Dental Care,Health & Beauty,14279,14345,15083
5934634,Dental Whitening,Dental Care,Health & Beauty,601089270,14345,15083
6310850,Shampoo & Conditioner,Hair Care,Health & Beauty,8907417,14459,15083
6481692,Tablets & Capsules,Vitamins & Supplements,Health & Beauty,835060756,8907425,15083
6481692,Sleep Support,Vitamins & Supplements,Health & Beauty,8907444,8907425,15083
