prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
7820986,Coles,Beef Slow Cook Chuck Roast,approx. 1.3kg,24.7,0.0,0.0,COLES BEEF SLOW COOK CHUCK ROAST
7847949,Coles Made Easy,Slow Cooked Teriyaki Chicken,700g,14.0,0.0,0.0,COLES MADE EASY SLOW COOKED TERIYAKI CHICKEN 700G
7848420,Coles Made Easy,Slow Cooked Pork Belly Bites In Bbq Honey,500g,14.0,0.0,0.0,COLES MADE EASY SLOW COOKED  PORK BELLY BITES IN BBQ HONEY500G
7868053,Coles,Lamb Rump Roast 2pack,approx. 480g,10.56,0.0,0.0,COLES LAMB RUMP ROAST 2PK PER KG
7868097,Coles,Graze Lamb Leg Steak 2pack,270g,10.0,0.0,0.0,COLES GRAZE LAMB LEG STEAK 2PK:270 GRAM
7876936,Coles,Lamb Ribs With Sticky BBQ Rub,750g,16.5,0.0,0.0,COLES LAMB RIBS WITH STICKY BBQ RUB 750G
7991457,Huon,Premium Tasmanian Salmon Steak Skin On 200g,200g,12.0,0.0,0.0,HUON PREMIUM TASMANIAN SALMON STEAK SKIN ON 200G
8018520,Tassal,Salmon Family Bundle,460g,15.0,0.0,0.0,TASSAL SALMON FAMILY BUNDLE 460G
8094482,Fresh,Whole Rainbow Trout,PERKG,21.0,0.0,0.0,DELI FRESH WHOLE RAINBOW TROUT
8104860,Coles Deli,Fresh Tasmanian Salmon Portions Skin Off,approx. 250g,11.5,0.0,0.0,COLES DELI FRESH TASMANIAN SALMON PORTIONS SKIN OFF
8112449,Coles,No Added Hormone Beef 4 Star Lean Mince,500g,9.5,0.0,0.0,COLES BRAND NO ADDED HORMONE BEEF 4 STAR LEAN MINCE 500 GRAM
8112799,Coles,No Added Hormone Beef 5 Star Extra Trim Mince,500g,10.0,0.0,0.0,COLES BRAND NO ADDED HORMONE BEEF  5 STAR EXTRA TRIM MINCE
8407613,Coles,RSPCA Approved Free Range Chicken Mango & Coconut,900g,16.0,0.0,0.0,COLES FREE RANGE RSPCA CHICKEN MANGO & COCONUT
8407624,Coles,Free Range RSPCA Chicken Peri Peri,900g,16.0,0.0,0.0,COLES FREE RANGE RSPCA CHICKEN PERI PERI
8407646,Coles,Free Range RSPCA Chicken Sweet Mustard Breast Fillet,500g,12.0,0.0,0.0,COLES FREE RANGE RSPCA CHICKEN SWEET MUSTARD BREAST FILLET
8409153,Coles,Free Range RSPCA Chicken Leg Fillet Tikka,600g,12.0,0.0,0.0,COLES FREE RANGE RSPCA CHICKEN LEG FILLET TIKKA
8409200,Lilydale,Free Range Butterflied Boneless Chicken Rustic Italian Glaze,1.1KG,19.0,0.0,0.0,LILYDALE FREE RANGE BUTTERFLIED BONELESS CHICKEN RUSTIC ITALIAN GLAZE
8413831,Cleavers Organic,Lamb Leg Roast Half,approx. 1.6kg,28.8,0.0,0.0,CLEAVERS ORGANIC LAMB LEG ROAST HALF
8574309,Coles,Pork 3 Star Regular Mince,800g,8.0,0.0,0.0,COLES PORK 3 STAR REGULAR MINCE 800G
8601456,Coles,Beef Blade Roast,approx. 1.55kg,21.7,24.8,12.5,COLES BRAND RR 7X5 BEEF BLADE ROAST:PER KG
8648610,Coles,Beef Strips With Bulgogi Marinade,500g,12.0,13.0,7.69,COLES BEEF STRIPS WITH BULGOGI MARINADE 500GRAM
8648620,Coles Finest,Flat Iron Sharing Steak With Chilli & Garlic Butter,approx. 420g,15.54,0.0,0.0,COLES FINEST FLAT IRON SHARING STEAK WITH CHILLI AND GARLIC BUTTER
8698141,Olga's Fine Foods,Chicken Patties,500g,6.3,0.0,0.0,OLGAS CHICKEN PATTIES 500GRAM
8749311,Drovers Choice,No Added Hormone Beef Blade Steak,approx. 1.2kg,22.8,0.0,0.0,DROVERS CHOICE NO ADDED HORMONE BEEF BLADE STEAKS FT :PER KG
8781132,Coles,5 Star Extra Lean Pork Mince,500g,7.0,0.0,0.0,COLES 5 STAR EXTRA LEAN PORK MINCE (9X7)
8781518,Coles,Regular Pork Mince,500g,5.0,6.0,16.67,COLES BRAND REGULAR PORK MINCE  (9X7)
8782237,Coles,Pork & Beef 3 Star Regular Mince Bolognese,500g,6.5,0.0,0.0,COLES PORK & BEEF 3 STAR REGULAR MINCE BOLOGNESE WA RR 9X7
8846125,Coles,Pink Ling Fillet,200g,10.0,0.0,0.0,COLES PINK LING FILLET 200G
8850461,Coles,3 Star Lamb Mince,500g,8.5,0.0,0.0,COLES 3 STAR LAMB MINCE (9X7)
8888158,British,Jumbo Angus Burger,600g,12.0,0.0,0.0,BRITISH JUMBO ANGUS BURGER 600GRAM
