prodid,brand,name,size,current_price,full_price,raw_description
5559580,Five 3 Brewing,Dry Irish Stout Can 375ml,4 Pack,20.0,0.0,FIVE 3 BREWING DRY IRISH STOUT CAN 375ML:PACK4
5559615,Five 3 Brewing,Hazy Lager Can 375ml,24 Pack,105.0,0.0,FIVE 3 BREWING HAZY LAGER CAN 375ML:CTN24
5559626,Five 3 Brewing,Hazy Lager Can 375ml,4 Pack,23.0,0.0,FIVE 3 BREWING HAZY LAGER CAN 375ML:PACK4
5559648,Five 3 Brewing,Rocket's Pale Ale Can 375ml,24 Pack,83.0,0.0,FIVE 3 BREWING ROCKET'S PALE ALE CAN 375ML:CTN24
5559670,Five 3 Brewing,Rocket's Pale Ale Can 375ml,4 Pack,19.0,0.0,FIVE 3 BREWING ROCKET'S PALE ALE CAN 375ML:PACK4
5565312,Misko,Macaroni No 2 Greek Pasta,500g,3.3,0.0,MISKO PASTA MACARONI 2 GREEK 500G
5566971,Misko,Risone Medium No 52 Pasta,500g,3.3,0.0,MISKO PASTA RISONE MEDIUM 52 500G
5573911,Senza,Gluten & Dairy Free Garlic Bread,250g,4.7,0.0,SENZA GLUTEN & DAIRY FREE GARLIC BREAD 250G
5576126,Spur,Dressing Salad & French Fry,500g,8.5,0.0,SPUR DRESSING SALAD & FRENCH FRY 500G
5577548,Latina,Lasagne Ravioli 4 Serve,625g,11.0,0.0,LATINA LASAGNE RAVIOLI 4 SERVE 625G
5577628,Carman's,Iced Coffee Protein Bars 5 Pack,200g,7.9,0.0,CARMAN'S ICED COFFEE PROTEIN BARS 5 PACK 200G
5581080,Petaluma,Second Blooming Chardonnay 750ml,1 Each,25.0,0.0,PETALUMA SECOND BLOOMING CHARDONNAY 750ML:EA
5583085,CSR,Soft Icing Mixture,500g,2.5,0.0,CSR SOFT ICING MIXTURE 500G
5583970,Ob Finest,3 Cheese Crisps With Chilli,85g,,,OB FINEST 3 CHEESE CRISPS WITH CHILLI 85G
5584361,Snowdonia,Balsamic Onion Chutney,110g,7.0,0.0,SNOWDONIA BALSAMIC ONION CHUTNEY 110G
5584419,Snowdonia,Fig & Apple Chutney,114g,7.0,0.0,SNOWDONIA FIG & APPLE CHUTNEY 114G
5585579,Aloe Vera of Australia,99.9% Pure Inner Leaf Aloe Juice,1L,14.0,0.0,ALOE VERA OF AUSTRALIA 99.9% PURE INNER LEAF ALOE JUICE 1 LITRE
5586017,Yoplait,Strawberry Yoghurt,1kg,4.95,0.0,YOPLAIT STRAWBERRY YOGHURT:1KG
5588963,Farmers Union,Greek Style Natural Yoghurt,500g,4.9,0.0,FARMERS UNION GREEK STYLE YOGHURT NATURAL
5592075,Coles,Bakery Cake Madeira Lemon,315g,3.5,0.0,COLES BAKERY CAKE MADEIRA LEMON
5593191,A2,Lactose Free Full Cream Milk,1L,3.9,0.0,A2 LACTOSE FREE FULL CREAM MILK 1L
5596837,San Remo,Pasta Bowties,500g,2.95,0.0,SAN REMO PASTA:BOWTIES:.:500 GRAM
