prodid,brand,name,size,current_price,full_price,raw_description
3882370,Taokaenoi,Big Roll Classic 9x3g,27g,4.85,5.5,TAOKAENOI BIG ROLL CLASSIC 9PK X 3GM
4462347,Zilzie,Estate Prosecco Rose 750ml,1 Each,9.0,14.0,ZILZIE ESTATE PROSECCO ROSE 750ML:EA
5071833,Coles Organic,Red Onions,1Kg,4.8,0.0,COLES ORGANIC ONIONS:RED:.:1 KG
2412370,Australia's Own,Unsweetened Organic Almond Milk,1L,2.0,3.1,AUSTRALIAS OWN ORGANIC UNSWEETENED ALMOND MILK
4455556,Bulla,Splits Summer Splits 10 Pack,750mL,7.0,9.0,BULLA SPLITS SUMMER SPLITS 10PK 750ML
4457201,Bulla,Choc Fudge Ice Cream 8pack,600mL,7.0,9.0,BULLA CHOC FUDGE ICE CREAM 8PK 600ML
5141815,Vegie Delights,Plant Based Vegie Sausages,300g,6.0,7.5,VEGIE DELIGHTS PLANT BASED VEGIE SAUSAGES 300G
6783942,Jila,Sugar Free Peppermint Mints,34g,2.0,2.3,JILA SUGAR FREE MINTS:PEPPERMINT:.:34 GRAM
9728565,Lemnos,Smooth Fetta,200g,5.0,6.5,LEMNOS FETTA SMOOTH
1466272,Nature's Way,Super Foods Acai,50g,12.35,16.5,NATURE'S WAY ACAI + BERRIES
3801301,Mission,Street Tacos,375g,3.3,4.4,MISSION STREET TACOS 10 PACK 375G
5252565,ABC,Sweet Soy Sauce,620mL,5.3,6.4,ABC SWEET SOY SAUCE 620ML
5901340,Peters,Original Neapolitan Ice Cream,4L,8.7,10.9,PETERS ORIGINAL NEAPOLITAN ICE CREAM 4L
6341660,Old El Paso,Fiery Spice Mix,35g,2.7,3.0,OLD EL PASO FIERY SPICE MIX 35G
4185826,Sandhurst,Semi Dried Tomato Julienne Strips,500g,5.6,7.0,SANDHURST SEMI DRIED TOMATO JULIENNE STRIPS 500G
3628580,Sandhurst,Roasted Red Pepper Strips,470g,5.0,6.0,SANDHURST ROASTED RED PEPPER STRIPS 470G
3665994,Baci,Assorted Chocolate Truffle With Hazelnuts,175g,14.0,20.0,BACI ASSORTED BIJOU 175G
4970213,Extra,Intense Mint Sugar Free Chewing Gum,27g,2.0,2.5,EXTRA INTENSE MINT SUGAR FREE CHEWING GUM 27G
8958683,Chans Yum Cha,Prawn Hargow,500GRAM,9.0,12.0,CHANS YUM CHA PRAWN HARGOW 500G
9129560,Barry's Tea,Decaf 80's,250g,13.5,15.0,BARRY'S TEA DECAF 80'S 250GM
9070515,Binggraoe,Milk Drink Melon 6X200mL,1200mL,9.9,11.0,BINGGRAE MILK DRINK MELON 6X 200ML
5046009,Dilmah,Pure Ceylon Premium Loose Leaf Tea,250g,5.25,7.5,DILMAH PREMIUM LOOSE TEA LEAF 250G
6481058,Healthy Baker,Flour Self Raising,1kg,2.75,3.25,HEALTHY BAKER FLOUR:SELF RAISING:.:1 KG
6450214,Annie's Orchard,Unsweetened Oat Milk,1L,2.6,3.3,ANNIE'S ORCHARD UNSWEETENED OAT MILK 1L
7395392,Old El Paso,Regular Tortillas Fajita 6 Pack,240g,3.6,4.5,OLD EL PASO REGULAR TORTILLAS FAJITA 6 PACK 240G
2791280,Yarra Valley,Cheese Marinated Persian Fetta,350g,10.0,11.5,YARRA VALLEY CHEESE MARINATED PERSIAN FETTA 350G
