prodid,brand,name,size,current_price,full_price,raw_description
3627328,Coles,Soft White Sandwich,650g,2.7,0.0,COLES SOFT WHITE SANDWICH 650GRAM
3628364,Hanabi,White Clams Whole,1 kg,7.9,0.0,HANABI WHITE CLAMS WHOLE 1KG
3630672,Avalanche,Cappuccino 99% Sugar Free Coffee Sachets,10 pack,5.5,0.0,AVALANCHE CAPPUCCINO 99% SUGAR FREE COFFEE SACHETS 10 PACK
3630901,Avalanche,Flat White 99% Sugar Free Coffee Sachets,10 pack,5.5,0.0,AVALANCHE FLAT WHITE 99% SUGAR FREE COFFEE SACHETS 10 PACK
3631711,Lee Kum Kee,Black Pepper Sauce,350g,5.5,0.0,LEE KUM KEE BLACK PEPPER SAUCE 350G
3631904,Avalanche,Caramel 99% Sugar Free Coffee Sachets,10 pack,5.5,0.0,AVALANCHE CARAMEL 99% SUGAR FREE COFFEE SACHETS 10 PACK
3631970,Ranong Tea,3 In 1 Thai Tea Mix 200g,10 Pack,6.6,0.0,RANONG TEA 3 IN 1 THAI TEA MIX 10 SACHETS 200G
3631992,Ranong Tea,3 In 1 Matcha Latte 8 Sachets,160g,6.6,0.0,RANONG TEA 3 IN 1 MATCHA LATTE 8 SACHETS 160G
3632157,Huiji,Green Tea Flavour Sunflower Seeds,135g,1.95,0.0,HUIJI GREEN TEA SUNFLOWER SEEDS 135G
3632419,Pigeon Brand,Pickled Mustard Half Brine,350g,1.6,0.0,PIGEON BRAND PICKLED MUSTARD HALF BRINE 350G
3632758,Ibumie,Instant Noodle,650g,4.6,0.0,IBUMIE INSTANT NOODLE 650G
3633681,Coles,Choc Chip Banana Bread Slices 5 Pack,500g,6.15,0.0,COLES CHOC CHIP BANANA BREAD SLICES 5PK
3635199,OB Finest,Gluten Free Pistachio & Fig Speciality Crackers,130g,5.0,6.5,OB FINEST SPECIALTY CRACKERS FIG & PISTACHIO GLUTEN FREE 130G
3639098,Zooper Dooper,No Sugar Ice Water,24 Pack,7.2,0.0,ZOOPER DOOPER WATER ICE NO SUGAR 24PK
3639597,Mission,Salt Reduced Wraps 8 pack,567g,5.5,0.0,MISSION SS REDUCED SALT WRAPS
3641125,Vadilal,Green Chilli,312g,2.4,0.0,VADILAL GREEN CHILI 312G
3642875,Jelly B,Drinkable Konjac Jelly Mango Flavour,150mL,3.9,0.0,YACOYA JELLY B DRINKABLE KONJAC JELLY MANGO 150ML
3643255,Seng Hork,Chicken Bun,300g,5.0,0.0,SENG HORK CHICKEN BUN 300G
3643528,Mr Finch,Cider Rose Bottle 330ml,24 Pack,48.9,0.0,MR FINCH CIDER ROSE BOTTLE 330ML:CTN24
3643539,Mr Finch,Cider Rose Bottle 330ml,6 Pack,16.0,0.0,MR FINCH CIDER ROSE BOTTLE 330ML:PACK6
3646606,Table Of Plenty,Kefir Lactose Free,1kg,9.3,0.0,TABLE OF PLENTY KEFIR LACTOSE FREE 1KG
3655108,Coles Nature's Kitchen,Silken Tofu,300g,2.3,0.0,COLES NATURES KITCHEN SILKEN TOFU 300G
3655119,Coles Nature's Kitchen,Tempeh,300g,4.5,0.0,COLES NATURES KITCHEN TEMPEH 300G
3661177,Frooti,Mango Drink,6 pack,5.8,0.0,FROOTI MANGO DRINK 6 PACK
3664812,Coles Organic,Tomato Passata,700g,2.5,0.0,COLES ORGANIC TOMATO PASSATA 700G
3664834,Coles Organic,Bolognese Pasta Sauce,500g,2.5,0.0,COLES ORGANIC BOLOGNESE PASTA SAUCE
3664845,Coles Organic,Basil Pasta Sauce,500g,2.5,0.0,COLES ORGANIC BASIL PASTA SAUCE
3673664,Coles,Vol Au Vent 4 Pack,108g,5.85,0.0,COLES VOL AU VENT 4PK
3678318,Manly Spirits,Coastal Citrus Gin 700ml,1 Each,82.0,0.0,MANLY SPIRITS COASTAL CITRUS GIN 700ML:EA
3678657,Coles Bakery,Stone Baked By Laurent Mini Olive Pane Di Casa,1 each,2.5,3.25,COLES STONE BAKED BY LAURENT MINI OLIVE PANE DI CASA
3678668,Coles Bakery,Stone Baked By Laurent Mini White Sourdough Vienna,1 each,2.5,3.25,COLES STONE BAKED BY LAURENT MINI WHITE SOURDOUGH VIENNA
3696706,5 Gum,Watermelon Burst Sugar Free Gum 12 Piece,32g,2.5,0.0,5 GUM WATERMELON BURST SUGAR FREE GUM 12PC 32G
3697356,Native Spirits,Melbourne Classic Gin By Patient Wolf 500ml,1 Each,59.9,0.0,NATIVE SPIRITS MELBOURNE CLASSIC GIN BY PATIENT WOLF 500ML:EA
3702820,Smithy's,Easy Drinking Beer Can 375ml,24 Pack,48.9,0.0,SMITHY'S EASY DRINKING BEER CAN 375ML:CTN24
3716009,Kewpie,Mayonnaise Sriracha,300g,5.5,0.0,KEWPIE MAYONNAISE SRIRACHA 300G
3716246,Knorr,Aromat Canister,200g,8.0,0.0,KNORR AROMAT CANISTER 200G
3723478,UP&GO,No Added Sugar Choc Ice 6 x 250ml,1.5L,12.6,0.0,SANITARIUM UP&GO LIQUID BREAKFAST 6X250ML:CHOC ICE:NAS:1.5 LITRE
3723489,UP&GO,No Added Sugar Vanilla Ice 6 x 250ml,1.5L,12.6,0.0,SANITARIUM UP&GO LIQUID BREAKFAST 6X250ML:VANILLA ICE:NAS:6X250ML
3723503,UP&GO,No Added Sugar Vanilla Ice 12 x 250ml,3L,17.5,0.0,SANITARIUM UP&GO LIQUID BREAKFAST FRIDGE PACK 12X250ML:VANILLA ICE:NAS
3723514,UP&GO,No Added Sugar Choc Ice 12 x 250ml,3L,17.5,0.0,SANITARIUM UP&GO LIQUID BREAKFAST FRIDGE PACK 12X250ML:CHOC ICE:NAS
3724368,Mc Donnells,Curry Sauce,200g,10.0,0.0,MCDONNELLS CURRY SAUCE 200G
3725203,Coles Asia,Soy Sauce,1.9L,7.5,0.0,COLES ASIA SOY SAUCE 1.9L
3725327,Coles Asia,Hokkien Ready To Eat Noodles 2 Pack,400g,1.85,0.0,COLES ASIA HOKKIEN RTE NOODLES 2X200G
3725338,Coles Asia,Udon Ready To Eat Noodles,400g,1.85,0.0,COLES ASIA UDON RTE NOODLES 2X200G
3725510,Coles Asia,Singapore Ready To Eat Noodles,400g,1.85,0.0,COLES ASIA SINGAPORE RTE NOODLES 2X200G
3729805,The Stubborn Few,Pinot Noir Cask 2l,1 Each,8.9,0.0,THE STUBBORN FEW PINOT NOIR CASK 2L:EA
3729816,The Stubborn Few,Pinot Gris Cask 2l,1 Each,8.9,0.0,THE STUBBORN FEW PINOT GRIS CASK 2L:EA
3731705,Coles,Soft White Wraps 8 Pack,360g,2.2,0.0,COLES SOFT WHITE WRAPS 8PK
