prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
2140984,Dried Fruits & Fillings,Baking,Pantry,8734,8756,10302
214398,"Pickles, Chutney & Relish",Pickled Vegetables & Condiments,Pantry,9101,9232,10302
2149231,Dried Fruits & Fillings,Baking,Pantry,8734,8756,10302
2149231,Dried Fruit,Nuts & Dried Fruit,Fruit & Vegetables,8892412,1723,2100
2154730,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2154730,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2154730,Indian,International Foods,Pantry,8904806,8904802,10302
2154741,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2154741,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2154741,Indian,International Foods,Pantry,8904806,8904802,10302
2154752,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2154752,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2154752,Indian,International Foods,Pantry,8904806,8904802,10302
2154763,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2154763,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2154763,Indian,International Foods,Pantry,8904806,8904802,10302
2154810,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2154810,New Zealand,World Foods,Dietary & World Foods,675106555,674113139,674112512
2154810,New Zealand,International Foods,Pantry,8904812,8904802,10302
2154990,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2154990,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2154990,Indian,International Foods,Pantry,8904806,8904802,10302
2155008,Drinks,Halal,Dietary & World Foods,675040493,674135336,674112512
2155008,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2155008,Indian,International Foods,Pantry,8904806,8904802,10302
2157105,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2157105,Indian,International Foods,Pantry,8904806,8904802,10302
2157229,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2157229,Indian,International Foods,Pantry,8904806,8904802,10302
2157262,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2157262,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2157262,Indian,International Foods,Pantry,8904806,8904802,10302
2158593,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158593,Indian,International Foods,Pantry,8904806,8904802,10302
2158607,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158607,Indian,International Foods,Pantry,8904806,8904802,10302
2158618,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158618,Indian,International Foods,Pantry,8904806,8904802,10302
2158630,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158630,Indian,International Foods,Pantry,8904806,8904802,10302
2158651,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158651,Indian,International Foods,Pantry,8904806,8904802,10302
2158695,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158695,Indian,International Foods,Pantry,8904806,8904802,10302
2158731,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158731,Indian,International Foods,Pantry,8904806,8904802,10302
2158797,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158797,Indian,International Foods,Pantry,8904806,8904802,10302
2158800,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158800,Indian,International Foods,Pantry,8904806,8904802,10302
2158811,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158811,Indian,International Foods,Pantry,8904806,8904802,10302
2158822,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2158822,Indian,International Foods,Pantry,8904806,8904802,10302
218526,Salt & Pepper,Herbs & Spices,Pantry,8252,8285,10302
2191453,Beans & Legumes,"Pasta, Rice, Legumes & Grains",Pantry,9635,9634,10302
2191453,Canned Beans & Legumes,"Canned Food, Soups & Noodles",Pantry,9679,10146,10302
2191453,Canned Vegetables,"Canned Food, Soups & Noodles",Pantry,9964,10146,10302
2194225,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2194225,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2194225,Indian,International Foods,Pantry,8904806,8904802,10302
2194258,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2194258,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2194258,Indian,International Foods,Pantry,8904806,8904802,10302
2194269,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2194269,Indian,International Foods,Pantry,8904806,8904802,10302
2194270,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2194270,Indian,International Foods,Pantry,8904806,8904802,10302
219959,Pancake & Dessert Mixes,Baking,Pantry,8757,8756,10302
219959,"Custard, Cream & Yoghurt Desserts",Desserts,Pantry,8894202,8894200,10302
220426,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
220426,Pasta,"Pasta, Rice, Legumes & Grains",Pantry,9539,9634,10302
2212484,Honey,"Jams, Honey & Spreads",Pantry,8881205,8881200,10302
2222262,Nut Spreads,"Jams, Honey & Spreads",Pantry,8881203,8881200,10302
2223301,Sugar & Sweeteners,Baking,Pantry,8317,8756,10302
2233779,South African,World Foods,Dietary & World Foods,675107170,674113139,674112512
2233779,South African,International Foods,Pantry,8905000,8904802,10302
2235661,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2235661,Indian,International Foods,Pantry,8904806,8904802,10302
2235796,Pantry,Halal,Dietary & World Foods,675041078,674135336,674112512
2235796,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2235796,Indian,International Foods,Pantry,8904806,8904802,10302
2236187,"Pickles, Chutney & Relish",Pickled Vegetables & Condiments,Pantry,9101,9232,10302
2236303,Instant Meals & Sides,"Canned Food, Soups & Noodles",Pantry,10024,10146,10302
2236303,Microwave Rice,"Pasta, Rice, Legumes & Grains",Pantry,8888274,9634,10302
2236303,Rice,"Pasta, Rice, Legumes & Grains",Pantry,9592,9634,10302
2236370,Drinks,Halal,Dietary & World Foods,675040493,674135336,674112512
2236370,Indian,World Foods,Dietary & World Foods,675103733,674113139,674112512
2236370,Indian,International Foods,Pantry,8904806,8904802,10302
224959,Savoury Spreads,"Jams, Honey & Spreads",Pantry,8881204,8881200,10302
2255487,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
2255487,Cake & Bread Mixes,Baking,Pantry,8423,8756,10302
2256253,Sugar & Sweeteners,Baking,Pantry,8317,8756,10302
2258340,Soups,"Canned Food, Soups & Noodles",Pantry,10147,10146,10302
2258340,Healthy Cooking,Health Foods,Pantry,12083,10301,10302
2258419,Soups,"Canned Food, Soups & Noodles",Pantry,10147,10146,10302
2258419,Healthy Cooking,Health Foods,Pantry,12083,10301,10302
2258420,Soups,"Canned Food, Soups & Noodles",Pantry,10147,10146,10302
2258420,Healthy Cooking,Health Foods,Pantry,12083,10301,10302
2261060,Gluten Free,Free From,Dietary & World Foods,675024732,674114623,674112512
2261060,Noodles,"Canned Food, Soups & Noodles",Pantry,9689,10146,10302
