prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
8097061,Illy,Classico Ground Coffee,250g,18.0,0.0,0.0,ILLY CLASSICO GROUND 250G
8097800,Maggi,Fusian Mi Goreng Instant Noodles Soy & Mild Spice Flavour 5 Pack,360g,5.0,0.0,0.0,MAGGI FUSIAN MI GORENG INSTANT NOODLES SOY & MILD SPICE FLAVOUR 5 PACK
8097811,Maggi,Fusian Mi Goreng Instant Noodles Hot & Spicy 5 Pack,365g,5.0,0.0,0.0,MAGGI FUSIAN MI GORENG INSTANT NOODLES HOT & SPICY 5 PACK
8098632,Laucke,Wallaby Bakers Bread Flour,1kg,3.6,0.0,0.0,LAUCKE WALLABY BAKERS BREAD FLOUR 1KG
8098698,Laucke,Bread Mix Sourdough White,500g,3.6,0.0,0.0,LAUCKE BREAD MIX SOURDOUGH WHITE 500G
8100621,Coles,Peanut Butter Smooth,500g,3.4,0.0,0.0,COLES PEANUT BUTTER SMOOTH 500G
8100632,Coles,Peanut Butter Crunchy,500g,3.4,0.0,0.0,COLES PEANUT BUTTER CRUNCHY 500G
8100665,Coles,Peanut Butter Smooth,1kg,6.5,0.0,0.0,COLES PEANUT BUTTER SMOOTH 1KG
8100687,Coles,Peanut Butter Crunchy,1kg,6.5,0.0,0.0,COLES PEANUT BUTTER CRUNCHY 1KG
8100950,Maggi,Instant Noodles Cups Chicken Flavour 4 Pack,240g,8.0,0.0,0.0,MAGGI INSTANT NOODLES CUPS CHICKEN FLAVOUR 4 PACK 240 GRAM
8101180,Wellness Road,Organic Goji Berries,200g,6.5,0.0,0.0,WELLNESS ROAD ORGANIC GOJI BERRIES 200G
8104280,Lee Kum Kee,Ready Sauce Black Pepper Beef,120g,2.7,0.0,0.0,LEE KUM KEE READY SAUCE BLACK PEPPER BEEF 120G
8104473,Lee Kum Kee,Ready Sauce Cantonese Chicken,120g,2.7,0.0,0.0,LEE KUM KEE READY SAUCE CANTONESE CHICKEN 120G
8127832,Sanitarium,Weet-bix Bites Coco Crunch Breakfast Cereal,500g,6.0,0.0,0.0,SANITARIUM WEET-BIX BITES BREAKFAST CEREAL COCO CRUNCH 500G
8127923,Kellogg's,Coco Pops Pillows Choc Brownie Flavour,310g,7.5,0.0,0.0,KELLOGG'S COCO POPS PILLOWS CHOC BROWNIE FLAVOUR 310G
8129463,Kellogg's,Coco Pops Chocolatey Breakfast Cereal Bulk Pack,950g,11.25,0.0,0.0,KELLOGG'S COCO POPS CHOCOLATEY BREAKFAST CEREAL BULK PACK 950G
8134587,ETA Ripples Chips,Ready With Sea Salt,150 GRAM,5.2,0.0,0.0,ETA RIPPLES READY SLTD CHIPS WITH SEA SALT 150GM
8134598,Black Knight,Licorice Medley,500g,7.0,10.4,32.69,BLACK KNIGHT LICORICE MEDLEY 500GM
8135499,Sempio,Ssamjang Paste,250g,4.3,0.0,0.0,SEMPIO SSAMJANG PASTE 250GM
8136130,Knorr Seasoning,Original Liquid,250ML,3.5,0.0,0.0,KNORR ORIGINAL LIQUID SEASONING 250ML
8136470,Lee Kum Kee Powder,Chicken Bouillon,273GRAM,7.8,0.0,0.0,LEE KUM KEE CHICKEN BOUILLON POWDER 273GM
8136516,Lotte,Koala March Mango Flavour,37g,1.6,0.0,0.0,LOTTE KOALA MARCH MANGO FLAVOUR 37GM
8136582,Jinmailing,Beef Stew Instant Noodles 5x110g,550g,4.6,0.0,0.0,JINMAILANG BEEF STEW INSTANT NOODLES 5X110GM
8136607,Mamee,Chef Instant Noodle Curry Laksa 4x89g,356g,5.3,0.0,0.0,MAMEE CHEF INSTANT NOODLE CURRY LAKSA 4X 89GM
