prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
3017859,Coles,Seed Mix,165g,3.0,0,0,COLES SEED MIX 165G
3018137,Lekker,Traditional Mini Sticks,30g,4.8,0,0,LEKKER MINI STICKS TRADITIONAL 30G
3021040,Coles,Pink Fine Himalayan Salt,1kg,4.0,0,0,COLES PINK FINE HIMALAYAN SALT 1KG
3021051,Coles,White Sea Salt Flakes,250g,6.0,0,0,COLES WHITE SEA SALT FLAKES 250G
3023352,Tasti,Berry Cashew & Cacao Smooshed Wholefood Balls 6 pack,69g,3.5,0,0,TASTI BERRY CASHEW & CACAO SMOOSHED WHOLEFOOD BALLS 69G
3023374,Tasti,Peanut Butter & Caramel Smooshed Wholefood Balls 6 Pack,69g,3.5,0,0,TASTI PEANUT BUTTER & CARAMEL SMOOSHED WHOLEFOOD BALLS 69G
3023476,Coles,Chicken Instant Noodles 5x85g,425g,2.0,0,0,COLES CHICKEN INSTANT NOODLES 5X85G
3023589,Coles,Beef Instant Noodles 5x85g,425g,2.0,0,0,COLES BEEF INSTANT NOODLES 5X85G
3023647,Coles,Mi Goreng Instant Noodles 5x85g,425g,2.7,0,0,COLES MI GORENG INSTANT NOODLES 5X85G
3024130,Coles,Choc Sprinkles,250g,4.5,0,0,COLES CHOC SPRINKLES 250G
3024195,Coles,Bake & Create Marzipan,500g,8.0,0,0,COLES BAKE & CREATE MARZIPAN 500G
3025427,Queen,Celebrating 120 Years Master Blend Pure Vanilla Extract,100mL,15.0,0,0,QUEEN 120 YEARS PURE VANILLA EXTRACT
3025573,Hellmann's,Real Mayonnaise Jar,800g,11.0,0,0,HELLMANN'S REAL MAYONNAISE JAR 800G
3034472,Praise,Deli Style Balsamic & Roasted Garlic Vinaigrette,250mL,3.8,0,0,PRAISE DRESSINGS 250ML:BALSAMIC:.:250 ML
3034494,Praise,Dressing Roasted Garlic,250mL,3.8,0,0,PRAISE DRESSINGS 250ML:GARLIC:.:250 ML
3034508,Praise,Dressing Honey Dijon Mustard Vinaigrette,250mL,3.8,0,0,PRAISE DRESSINGS 250ML:MUSTARD DIJON HO:.:250 ML
3034552,Coles,Peri Peri Mayonnaise,360g,3.5,0,0,COLES PERI PERI MAYONNAISE 360G
3034665,Coles Organic,Whole Egg Mayonnaise,445g,6.5,0,0,COLES ORGANIC WHOLE EGG MAYONNAISE 445G
303556,Moccona,Classic Medium Roast Instant Coffee,100g,14.5,0,0,MOCCONA INSTANT MED ROAST COFFEE CLASSIC F/D
3039567,Coles,Pineapple Pieces,200g,3.75,0,0,COLES PINEAPPLE PIECES 200G
3041194,Coles,Crystallised Ginger,150g,3.0,0,0,COLES CRYSTALLISED GINGER 150G
3041398,Coles,Special Burger Sauce,360g,3.2,0,0,COLES SPECIAL BURGER SAUCE 360G
304752,Twinings,English Breakfast Tea Bags 100 Pack,200g,13.5,0,0,TWININGS TEA BAGS:ENGLISH BREAKFST:.:100 PACK
304763,Twinings,Earl Grey Tea Bags 100 Pack,200g,13.5,0,0,TWININGS TEA BAGS:EARL GREY:.:100 PACK
3049630,Sanitarium,Weet-bix Cholesterol Lowering Breakfast Cereal,440g,7.0,0,0,SANITARIUM WEET-BIX CHOLESTEROL LOWERING 440G
3055133,Fehlbergs,Jalapeno & Chilli Mix Sliced Pickle,470g,4.0,0,0,FEHLBERGS JALAPENO & CHILLI MIX 470G
3055188,Always Fresh,Cucumber Baby Chilli,350g,4.6,0,0,ALWAYS FRESH CUCUMBER BABY CHILLI 350G
3071821,Mazzetti,Organic Apple Cider Vinegar With Honey & Ginger,500mL,5.0,0,0,MAZZETTI APPLE CIDER VINEGAR WITH HONEY & GINGER 500ML
307193,Kraft,Mac And Cheese Original Pasta Macaroni Noodles,205g,3.5,0,0,KRAFT MAC & CHEESE ORIGINAL PASTA MACARONI NOODLES 205G
3079186,T2,Melbourne Breakfast Flavoured Black Tea Bags 25 Pack,50g,17.5,0,0,T2 MELBOURNE BREAKFAST  FLAVOURED BLACK TEA IN A BAG 25 PACK
3079200,T2,French Earl Grey Flavoured Black Tea Bags 25 Pack,50g,17.5,0,0,T2 FRENCH EARL GREY FLAVOURED BLACK TEA 25 PACK
3081268,T2,Peppermint Tea Bags,25 pack,14.5,0,0,T2 JUST PEPPERMINT TEA IN A BAG 25 PACK
3081280,T2,Lemongrass & Ginger Herbal Tea Bags 25 Pack,50g,14.5,0,0,T2 LEMONGRASS & GINGER HERBAL TISANE IN A BAG 25PACK
3081315,Lipton,English Breakfast Black Tea Bags,100 pack,7.0,0,0,LIPTON ENGLISH BREAKFAST TEA 100 PACK
3081530,Coles,Tomato Ketchup,487mL,2.5,0,0,COLES TOMATO KETCHUP 487ML
3083139,Eurobisc,Croissant With Chocolate Cream Filling 6 Pack,300g,8.0,0,0,EUROBISC CROISSANTS CHOC CUSTARD 300G
3083332,Olympian,Turkish Delight With Rose & Almond,300g,8.8,0,0,OLYMPIAN TURKISH DELIGHT ROSE & ALMOND  250G
3083343,Olympian,Biscota With Cocoa,250g,6.5,0,0,OLYMPIAN BISCOTA COCOA 250G
3083365,Siena,Anchovy Fillets,560g,22.0,0,0,SIENA ANCHOVY FILLETS 560G
3083376,Siena,Stuffed Green Olives,440g,3.75,0,0,SIENA STUFFED GREEN OLIVES 440G
3083387,Siena,Gnocchi,500g,2.6,0,0,SIENA GNOCCHI 500G
3083434,Gaganis,Premium Green Brown Lentils,1kg,5.0,0,0,GAGANIS GREEN BROWN LENTILS AUSTRALIAN 1KG
3083456,Aoun,Rose Water,500mL,5.0,0,0,AOUN ROSE WATER 500ML
3084787,Gaganis,Original Sesame Halva with Vanilla,250g,6.0,0,0,GAGANIS HALVA VANILLA 250G
3098249,Gaganis,Original Sesame Halva With Cocoa,250g,6.0,0,0,GAGANIS HALVA COCOA 250G
3114243,Sirena,Limited Edition Triple Chilli Tuna,95g,2.95,0,0,SIRENA TUNA TRIPLE CHILLI
3114378,Sirena,Tuna Lite Oil Italian Style,185g,4.7,0,0,SIRENA TUNA LITE OIL ITALIAN STYLE 185 GRAM.
3114618,John West,Wild Scottish Mackerel Fillets In Olive Oil Blend,125g,4.2,0,0,JOHN WEST MACKEREL FILLETS 125G:OLIVE OIL:.:125 GRAM
