prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
6344942,Vittoria,Oro Nespresso Compatible Capsules,20 pack,11.0,0,0,VITTORIA ORO NESPRESSO COMPATIBLE CAPSULES 20PACK
6344953,Vittoria,Mountain Grown Nespresso Compatible Capsules,20 pack,11.0,0,0,VITTORIA MOUNTAIN GROWN NESPRESSO COMPATIBLE CAPSULES 20PACK
6344964,Vittoria,Freeze Dried Instant Decaf,100g,16.2,0,0,VITTORIA FREEZE DRIED INSTANT DECAF COFFEE 100G
6345050,Vittoria,Nespresso Compatible Capsules Variety Pack,40 pack,26.0,0,0,VITTORIA NESPRESSO COMPATIBLE CAPSULES VARIETY PACK 40PACK
6355246,Coles,Corn Kernels No Added Salt,420g,1.2,0,0,COLES CORN KERNELS - NAS 420G
6358255,Mission,Reduced Salt Tortillas,567g,4.5,0,0,MISSION REDUCED SALT TORTILLAS 567G
6360370,BC,Snacks Salted Caramel Fudge High Protein Bar,40g,4.0,0,0,BC SNACKS SALTED CARAMEL FUDGE HIGH PROTEIN BAR 40G
6365308,Leggos,Gourmet Tomato Pasta Sauce Australian Pepperjack Shiraz,390g,4.8,0,0,LEGGOS GOURMET PASTA SAUCE AUSTRALIAN TOMATO PEPPERJACK SHIRAZ 390G
6367450,Tom & Luke,Peanut Butter & Cacao Snackaballs,88g,3.5,0,0,TOM & LUKE SNACKABALLS PEANUT BUTTER & CACAO 88G
6367471,Tom & Luke,Salted Caramel Snackaballs,88g,3.5,0,0,TOM & LUKE SNACKABALLS SALTED CARAMEL 88G
6369740,Tetley,Decaffeinated Green Tea Bags 50 Pack,87.5g,4.7,0,0,TETLEY GREEN DECAF TEA BAGS 50 PACK
6375593,Snackboy Macro Mike Pro,Macro Mike Protein Ball White Choc Cookie Butter,40g,3.5,0,0,SNACKBOY MACRO MIKE PROTEIN BALL WHITE CHOC COOKIE BUTTER 40G
6375607,Snackboy Keto Ball,Keto Ball Hazelnut Brownie,40g,3.5,0,0,SNACKBOY KETO BALL HAZELNUT BROWNIE 40G
6378161,Nerada,Organics Pure Chai Tea Bags 50 Pack,92.5g,5.0,0,0,NERADA ORGANIC TEA BAGS CHAI  50 PACK
6378616,Nerada,Organic Tea Bags Vanilla Rooibos,50 Pack,5.0,0,0,NERADA ORGANIC TEA BAGS ROOIBOS VANILLA 50 PACK
6380083,Keep It Cleaner,Bliss Mini Chocolate Fudge,30g,2.0,0,0,KEEP IT CLEANER BLISS MINI CHOC FUDGE 30G
6380120,Keep It Cleaner,Bliss Mini Peanut Caramel,30g,2.0,0,0,KEEP IT CLEANER BLISS MINI PEANUT CARAMEL 30G
6381530,Rosso Gargano,Passata Di Puglia,690g,6.0,0,0,ROSSO GARGANO PASSATA DI PUGLIA 690G
6384164,Nerada,Organics Pure Green Tea Bags 50 Pack,75g,4.5,0,0,NERADA ORGANIC GREEN TEA 50 PACK
6384969,Nerada,Organics Peppermint Tea Bags 40 Pack,60g,6.0,0,0,NERADA ORGANIC TEA BAGS:PEPPERMINT:.:40 PACK
6384980,Nerada,Camomile Herbal Infusion Tea Bags 40 Pack,60g,6.0,0,0,NERADA ORGANIC TEA BAGS:CAMOMILE:.:40 PACK
6385860,Coles,Corn Kernels 125g,4 pack,2.8,0,0,COLES 4 PACK CORN KERNELS 125G
6393868,Ardmona,Crushed Tomatoes,810g,3.9,0,0,ARDMONA TOMATOES CRUSHED 810G
6395229,Vittoria,Long Black Blend Coffee Bag,20 Pack,16.0,0,0,VITTORIA LONG BLACK BLEND COFFEE BAG 20 PACK
6397596,Cottees,Strawberry Jam,375g,3.5,0,0,COTTEES STRAWBERRY JAM 375G
6397610,Cottees,Blackberry Jam,375g,3.5,0,0,COTTEES BLACKBERRY JAM 375G
6397632,Cottees,Raspberry Jam,375g,3.5,0,0,COTTEES RASPBERRY JAM 375G
6397654,Cottees,Plum Jam,375g,3.5,0,0,COTTEES PLUM JAM 375G
6397665,Cottees,Apricot Jam,375g,3.5,0,0,COTTEES APRICOT JAM 375G
6397676,Cottees,Breakfast Marmalade Jam,375g,3.5,0,0,COTTEES BREAKFAST MARMALADE JAM 375G
6397687,Roses,English Breakfast Marmalade Jam,375g,4.3,0,0,ROSES ENGLISH BREAKFAST MARMALADE JAM 375G
6397712,Roses,Marmalade Jam,375g,4.3,0,0,ROSES SWEET ORANGE MARMALADE JAM 375G
6410606,Pana Organic,Dark Choc Peanut Caramel Snack Bar,40g,4.5,0,0,PANA ORGANIC SNACK BAR DARK CHOC PEANUT & CARAMEL 40G
6410617,Pana Organic,Dark Choc Cherry Coconut Snack Bar,40g,4.5,0,0,PANA ORGANIC SNACK BAR DARK CHOC CHERRY & COCONUT 40G
6420927,MasterFoods,Tomato Relish,250g,4.5,0,0,MASTERFOODS CAFE RELISH:.:TOMATO:250 GRAM
6432019,Betty Crocker,Frosted Chocolate Brownie Mix,500g,7.0,0,0,BETTY CROCKER FROSTED BROWNIE:.:CHOCOLATE:500 GRAM
6433306,A+ Hosan,Original Seaweed Snack,4g,1.0,0,0,A+ HOSAN ORIGINAL SEAWEED SNACK 4G
6435786,Vege,Vegan Prawn Crackers Sea Salt,75g,4.5,0,0,VEGE VEGAN PRAWN CRACKERS SEA SALT 75G
6437475,Tasti,Smooshed Dark Cacao Brownie Protein Balls,174g,7.5,0,0,TASTI SMOOSHED PROTEIN BALLS DARK CACAO BROWNIE 174G
6467498,Chang's,Crunchy Fried Noodles,100g,1.9,0,0,CHANG'S CRUNCHY FRIED NOODLES 100G
6475587,Mama,Noodle Chicken 5 Pack,450g,7.0,0,0,MAMA NOODLE CHICKEN 5PACK 450G
6475598,Mama,Noodle Shrimp Tomyum 5 Pack,450g,7.0,0,0,MAMA NOODLE SHRIMP TOMYUM 5 PACK 450G
6475601,Mama,Noodle Pork 5 Pack,450g,7.0,0,0,MAMA NOODLE PORK 5PACK 450G
6476375,Hamper,Original Corned Beef,454g,9.5,0,0,HAMPER CORNED BEEF ORIGINAL
6494628,Australia's Own,Cream Whipping UHT,250mL,3.2,0,0,AUSTRALIA'S OWN UHT CREAM 250ML
6495391,Daley Street,Freeze Dried Instant Coffee,100g,9.0,0,0,DALEY STREET FREEZE DRIED INSTANT COFFEE 100G
6499745,Best Foods,Real Mayonnaise,405g,6.5,0,0,BEST FOODS MAYONNAISE:REAL:.:405 GRAM
6509780,Grenade,Protein Bar Oreo,60g,5.0,0,0,GRENADE HIGH PROTEIN BAR OREO 60G
