prodid,aisle,category,subcategory,aisle_id,category_id,subcategory_id
4311363,Long-Life Flavoured Milk,Long Life-Milk,"Dairy, Eggs & Fridge",8895202,8895200,1300
4311363,Kids Milk,Flavoured Milk,Drinks,98646,98626,11456
4311385,Long-Life Flavoured Milk,Long Life-Milk,"Dairy, Eggs & Fridge",8895202,8895200,1300
4311385,Kids Milk,Flavoured Milk,Drinks,98646,98626,11456
4311829,Dairy & Lactose Free,Free From,Dietary & World Foods,675006051,674114623,674112512
4311829,Weight Management,Health Foods & Diet,Dietary & World Foods,675045539,674135563,674112512
4311829,Lactose Free-Milk,Long Life-Milk,"Dairy, Eggs & Fridge",8895208,8895200,1300
4311829,Lactose Free Milk,Long-Life Milk,Drinks,98667,98629,11456
4332385,Dairy & Lactose Free,Free From,Dietary & World Foods,675006051,674114623,674112512
4332385,Dairy Free,Yoghurt,"Dairy, Eggs & Fridge",8915819,8915804,1300
4332396,Packaged Bacon,Deli Packaged Meat,Deli,650188021,8901800,8892715
4332396,Packaged Bacon,Packaged Deli Meats,"Dairy, Eggs & Fridge",795553,79555,1300
4333333,Dairy & Lactose Free,Free From,Dietary & World Foods,675006051,674114623,674112512
4333333,Dairy Free,Yoghurt,"Dairy, Eggs & Fridge",8915819,8915804,1300
4339533,Yoghurt Tubs,Yoghurt,"Dairy, Eggs & Fridge",8915817,8915804,1300
4339544,Dairy & Lactose Free,Free From,Dietary & World Foods,675006051,674114623,674112512
4339544,"Cheese, Yoghurt & Dairy",Halal,Dietary & World Foods,675040491,674135336,674112512
4339544,Yoghurt Tubs,Yoghurt,"Dairy, Eggs & Fridge",8915817,8915804,1300
4339577,Soy Free,Free From,Dietary & World Foods,675024759,674114623,674112512
4339577,"Cheese, Yoghurt & Dairy",Halal,Dietary & World Foods,675040491,674135336,674112512
4339577,Yoghurt Tubs,Yoghurt,"Dairy, Eggs & Fridge",8915817,8915804,1300
4339577,Multipacks,Yoghurt,"Dairy, Eggs & Fridge",8915821,8915804,1300
4339599,Soy Free,Free From,Dietary & World Foods,675024759,674114623,674112512
4339599,"Cheese, Yoghurt & Dairy",Halal,Dietary & World Foods,675040491,674135336,674112512
4339599,Yoghurt Tubs,Yoghurt,"Dairy, Eggs & Fridge",8915817,8915804,1300
4339599,Multipacks,Yoghurt,"Dairy, Eggs & Fridge",8915821,8915804,1300
4339770,Yoghurt Tubs,Yoghurt,"Dairy, Eggs & Fridge",8915817,8915804,1300
4344497,Single Serve,Yoghurt,"Dairy, Eggs & Fridge",8915822,8915804,1300
