prodid,brand,name,size,current_price,full_price,raw_description
3275581,The Laughing Cow,Cheese,256g,7.65,8.5,THE LAUGHING COW CHEESE
3275661,Zanetti,Parmigiano Reggiano Pdo,200g,14.85,0.0,ZANETTI PARMIGIANO REGGIANO PDO 200G
3275854,Meredith,Dairy Marinated Goats Cheese,550g,22.0,0.0,MEREDITH DAIRY MARINATED GOATS CHEESE 550G
3275978,Coles Finest,French Goats Cheese,110g,4.0,0.0,COLES FINEST FRENCH GOATS CHEESE 110G
3275990,Coles,British Blue Stilton,150g,6.0,0.0,COLES BRITISH BLUE STILTON 150G
3276970,Coles,Ash Brie,200g,5.5,0.0,COLES ASH BRIE 200G
3277088,Wik,Tallow Dripping,500g,4.5,0.0,WIK TALLOW DRIPPING 500G
3301637,La Casa Del Formaggio,Burrata,150g,6.5,0.0,LA CASA DEL FORMAGGIO BURRATA
3301820,Castello,Double Cream Truffle Cheese,150g,9.0,0.0,CASTELLO DOUBLE CREAM TRUFFLE
3301830,Castello,Creamy Blue Cheese,300g,14.5,0.0,CASTELLO CREAMY BLUE 300G
3305810,Farmers Union,Greek Style Mango Yoghurt Pouch,130g,2.5,0.0,FARMERS UNION GREEK YOGHURT POUCH 130G:MANGO:.:130 GRAM
3306765,Farmers Union,Greek Style Passionfruit Yoghurt Pouch,130g,2.5,0.0,FARMERS UNION GREEK YOGHURT POUCH PASSIONFRUIT:.:130 GRAM
3308421,Mainland,Extra Tasty Cheddar Cheese Block,500g,11.0,0.0,MAINLAND CHEESE BLOCK EXTRA TASTY 500G
3310139,Danone,The Ultimate Golden Honey Yoghurt 4x115g,4 Pack,5.75,0.0,DANONE ULTIMATE GREEK YOGHURT 4PACK:HONEY:.:460 GRAM
3310140,Danone,The Ultimate Succulent Strawberry Yoghurt 4x115g,4 pack,5.75,0.0,DANONE ULTIMATE GREEK YOGHURT 4PACK:STRAWBERRY:.:460 GRAM
3310183,Danone,The Ultimate Black Cherry Yoghurt 4x115g,4 pack,5.75,0.0,DANONE ULTIMATE GREEK YOGHURT 4PACK:BLACK CHERRY:.:460 GRAM
3310194,Danone,The Ultimate Tropical Mango Yoghurt 4x115g,4 pack,5.75,0.0,DANONE ULTIMATE GREEK YOGHURT 4PACK:MANGO:.:460 GRAM
3349837,Fresh,Fodder Taramosalata Dip,200g,5.4,0.0,FRESH FODDER TARAMOSALATA DIP 200G
3349870,Fresh,Fodder Greek Style Tzatziki Dip,200g,5.4,0.0,FRESH FODDER GREEK STYLE TZATZIKI DIP 200G
3358532,Dineamic,Meal Chicken & Chorizo Paella,360g,10.95,0.0,DINEAMIC MEAL CHICKEN AND CHORIZO PAELLA
3358543,Dineamic,Meal Chicken & Mushroom Risotto,360g,10.95,0.0,DINEAMIC MEAL CHICKEN AND MUSHROOM RISOTTO
3411249,Boost,Mango Sunshine Juice,350mL,4.2,0.0,BOOST MANGO SUNSHINE 350ML
3411894,Lo Bros,Brewed Ginger Beer,330mL,4.3,0.0,LO BROS GINGER BEER 330ML
3412376,Boost,Mango Sunshine Juice Chilled,1L,6.2,0.0,BOOST MANGO SUNSHINE 1L
3416559,Perkii,Mango Passionfruit Probiotic Drink,350mL,4.4,0.0,PERKII MANGO PASSIONFRUIT 350ML
3416606,Perkii,Strawberry Watermelon Probiotic Drink,350mL,4.4,0.0,PERKII STRAWBERRY WATERMELON 350ML
3418361,Coles,Kids Cheese Triangles,140g,2.8,0.0,COLES KIDS CHEESE TRIANGLES
3422518,Raw C,Straight Up Coconut Water,2L,6.6,0.0,RAW C STRAIGHT UP COCONUT WATER 2L
3428401,Sunny Queen,Free Range Big Brekkie Browns Eggs 12 Pack,820g,10.2,0.0,SUNNY QUEEN BIG BREKKIE FREE RANGE 12PK 820G
3454332,Mr D's,Blue Lemonade Drink,500mL,2.55,0.0,MR D'S BLUE LEMONADE DRINK 500ML
3467039,Coles,Spicy Chorizo Salami Hot Chub,200g,7.5,0.0,COLES SPICY CHORIZO SALAMI HOT CHUB 200G
3467403,Coles Kitchen,Chicken & Corn Soup,300g,4.0,0.0,COLES KITCHEN CHICKEN & CORN SOUP 300G
3467414,Coles Kitchen,Chicken Noodle Soup,300g,4.0,0.0,COLES KITCHEN CHICKEN NOODLE SOUP 300G
3467447,Coles Kitchen,Butternut Pumpkin Soup,300g,4.0,0.0,COLES KITCHEN BUTTERNUT PUMPKIN SOUP 300G
3467469,Coles Kitchen,Tomato & Basil Soup,300g,4.0,0.0,COLES KITCHEN TOMATO & BASIL SOUP 300G
3467902,Senza,Gluten Free Pizza Base,220g,5.0,0.0,SENZA GLUTEN FREE PIZZA BASE 220G
3467935,Coles Kitchen,Pizza Dough Ball,250g,2.0,0.0,COLES KITCHEN PIZZA DOUGH BALL 250G
3468439,Coles Kitchen,Haloumi Chips,180g,5.5,0.0,COLES KITCHEN HALLOUMI CHIP 180G
3477815,Gippsland Dairy,Twist Yoghurt Limited Edition,160g,3.0,0.0,GIPPSLAND TWIST YOGHURT:LIMITED EDITION:.:160 GRAM.
3478807,Oatly,Organic Oat Milk,1L,5.5,0.0,OATLY ORGANIC OAT MILK
3488980,Oatly,Oat Milk Barista Edition,1L,5.5,0.0,OATLY OAT MILK BARISTA EDITION 1 LITRE
3492670,Australia's Own,Almond Barista Milk,1L,4.0,4.5,AUSTRALIAS OWN ALMOND BARISTA MILK 1 LITRE
3492932,Coles,Organic Unsweetened Oat Milk,1L,2.4,0.0,COLES ORGANIC UNSWEETENED OAT MILK 1 LITRE
3492954,Coles,Organic Soy Milk,1L,2.0,0.0,COLES ORGANIC SOY MILK 1 LITRE
3496423,Coles,Dairy Free Barista Almond Milk,1L,3.3,0.0,COLES BARISTA ALMOND MILK 1 LITRE
3506265,First Press,Cold Drip 10 Shot Coffee,500mL,12.7,0.0,FIRST PRESS COLD DRIP 10 SHOT COFFEE 500ML
3512053,Devondale,Extra Soft Butter Less Fat,750g,9.95,0.0,DEVONDALE EXTRA SOFT SPREADABLE BUTTER 750G
3515299,Flora,Margarine Spread Buttery,1kg,8.95,0.0,FLORA MARGARINE SPREAD BUTTERY 1 KG
