prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
8016503,Primo,Air-dried Salami Mild Pepperoni Sticks,90g,6.5,0.0,0.0,PRIMO AIR-DRIED SALAMI MILD PEPPERONI STICKS 90G
8016729,Primo,Air-dried Salami Mild Salami Sticks,90g,6.5,0.0,0.0,PRIMO AIR-DRIED SALAMI MILD SALAMI STICKS 90G
8020635,Takis Fuego,Tortilla Chips 92.3g,92.3 GRAM,6.0,6.5,7.69,TAKIS TORTILLA CHIPS 92.3GRAM:FUEGO:.:92.3 GRAM
8030617,Takis Blue,Tortilla Chips 92.3g,92.3 GRAM,6.0,6.5,7.69,TAKIS TORTILLA CHIPS 92.3GRAM:BLUE:.:92.3 GRAM
8037809,UP&GO,Liquid Breakfast Strawberry 3 x 250ml,750mL,6.8,0.0,0.0,UP&GO LIQUID BREAKFAST STRAWBERRY 3X250ML
8043380,Green's,Maple Flavour Pancake Shake,325g,3.5,0.0,0.0,GREENS MAPLE FLAVOUR PANCAKE SHAKE 325G
8047198,Lays,American Style Cream & Onion Potato Chips,48g,2.5,0.0,0.0,LAYS POTATO CHIPS:AMERICAN STYLE CREAM & ONION:.:48 GRAM
8047234,Kurkure,Chip Snacks Masala Munch,78g,2.5,0.0,0.0,KURKURE CHIP SNACKS:MASALA MUNCH:.:78 GRAM
8047846,Sunbeam,Australian Currants,300g,6.0,0.0,0.0,SUNBEAM AUSTRALIAN CURRANTS 300G
8047915,UP&GO,Liquid Breakfast Banana 6 x 250ml,1.5L,12.6,0.0,0.0,SANITARIUM UP&GO CEREAL 6X250ML:BANANA:.:1.5 LITRE
8048033,Nescafe,Gold Original Instant Coffee Jar,200g,23.0,0.0,0.0,NESCAFE GOLD ORIGINAL SOLUBLE INSTANT COFFEE 200G
8049750,Nescafe,Gold Original Premium Instant Coffee,100g,14.5,0.0,0.0,NESCAFE GOLD ORIGINAL SOLUBLE INSTANT COFFEE 100G
8050829,Nescafe,Gold Short Black Strong Instant Coffee,100g,14.5,0.0,0.0,NESCAFE GOLD SHORT BLACK SOLUBLE INSTANT COFFEE 100G
8051118,Nescafe,Green Blend Instant Coffee,100g,14.5,0.0,0.0,NESCAFE GREEN BLEND 100G
8051184,Edgell,Snack Time Sweet Corn Red Kidney Beans Capsicum,70g,1.6,0.0,0.0,EDGELL SNACK TIME SWEET CORN- RED KIDNEY BEANS- CAPSICUM 70G
8051661,La Costena,Jalapeno Nacho Slices,210g,4.8,0.0,0.0,LA COSTENA JALAPENO NACHO SLICES 210G
8053452,Wellness Road,Organic Cashews,250g,8.0,0.0,0.0,WELLNESS ROAD ORGANIC CASHEWS 250G
8053838,Campbells,Real Stock Vegetable,1L,4.5,0.0,0.0,CAMPBELLS REAL STOCK VEGETABLE:.:1 LITRE
8055640,Nescafe,Farmers Origins South Asia,10 pack,8.5,0.0,0.0,NESCAFE FARMERS ORIGINS SOUTH ASIA 10 PACK
8055673,Nescafe,Espresso Coffee Concentrate Vanilla,500mL,11.0,0.0,0.0,NESCAFE ESPRESSO COFFEE CONCENTRATE VANILLA 500ML
8055800,Campbell's,Real Stock Beef,1L,4.5,0.0,0.0,CAMPBELLS REAL STOCK BEEF.:1 LITRE
8055822,Nescafe,Espresso Coffee Concentrate Black,500mL,11.0,0.0,0.0,NESCAFE ESPRESSO COFFEE CONCENTRATE BLACK 500ML
8056202,Nescafe,Caramel Latte Decaf,10 pack,8.0,0.0,0.0,NESCAFE CARAMEL LATTE DECAF 10 PACK
8057282,Vittoria,Decaf Coffee Beans,500g,38.0,0.0,0.0,VITTORIA DECAF COFFEE BEANS 500G
8057511,Vittoria,Black Compatible Coffee Capsules,20 pack,11.0,0.0,0.0,VITTORIA BLACK COMPATIBLE COFFEE CAPSULES 20 PACK
8058569,Grinders,Cafe-q Classico Beans,500g,29.0,0.0,0.0,GRINDERS CAFE-Q CLASSICO BEANS
8059743,Nescafe,Dolce Gusto Ristretto Ardenza Coffee Capsules,16 pack,12.0,0.0,0.0,NESCAFE DOLCE GUSTO RISTRETTO ARDENZA COFFEE CAPSULES 16 PACK
8059776,Nescafe,Coffee 98% Sugar Free Hazelnut Coffee Sachets,10 Pack,8.0,0.0,0.0,NESCAFE COFFEE 98% SUGAR FREE HAZELNUT COFFEE SACHETS 10 PACK
8059787,Milo,Mocha Original,8 pack,8.0,0.0,0.0,MILO MOCHA ORIGINAL 8 PACK
8060469,Town Bus,Snacks Masala Peanuts,170g,3.75,0.0,0.0,TOWN BUS SNACKS MASALA PEANUTS 170G
8062577,Maharajah's Choice,Masala Twists,90g,2.5,0.0,0.0,MAHARAJAH'S CHOICE MASALA TWISTS 90G
8062599,Maharajah's Choice,Masala Crunch,52g,2.5,0.0,0.0,MAHARAJAH'S CHOICE MASALA CRUNCH 52G
8062635,Parle,Mango Bite,333g,4.0,0.0,0.0,PARLE MANGO BITE 333G
8062690,Brittannia,Dry Cake,300 GRAM,4.5,0.0,0.0,BRITANNIA DRY CAKE 300G
8063514,Britannia Value Pack,Fifty Fifty,372 GRAM,5.95,0.0,0.0,BRITANNIA VALUE PACK FIFTY FIFTY 372G
8064958,Brittania Value Pack,Marie Gold,600 GRAM,5.75,0.0,0.0,BRITANNIA VALUE PACK MARIE GOLD 600G
8066920,Everest,Chat Masala,100 GRAM,2.95,0.0,0.0,EVEREST CHAT MASALA 100G
8066953,Everest,Chicken Masala,100 GRAM,2.95,0.0,0.0,EVEREST CHICKEN MASALA 100G
8066986,Everest,Garam Masala,100 GRAM,2.95,0.0,0.0,EVEREST GARAM MASALA 100G
8067016,Everest,Meat Masala,100 GRAM,2.95,0.0,0.0,EVEREST MEAT MASALA 100G
8067027,Everest,Tandoori Chicken Masala,100 GRAM,2.95,0.0,0.0,EVEREST TANDOORI CHICKEN MASALA 100G
8067038,MTR,Cup Poha,80g,3.0,0.0,0.0,MTR 80G CUP POHA
8067049,MTR,Cup Vegetable Upma,80g,3.0,0.0,0.0,MTR 80G CUP VEGETABLE UPMA
8067130,Ching Secret,Schezwan Chutney,250g,4.5,0.0,0.0,CHINGS SECRET SCHEZWAN CHUTNEY 250G
8067264,T2,Sweetest Dream Tea Bags,25 pack,18.0,0.0,0.0,T2 SWEETEST DREAM TEA BAGS 25 PACK
8067435,Town Bus,Snacks Murukku,170g,3.75,0.0,0.0,TOWN BUS SNACKS MURUKKU 170 GRAM
8067606,Twinings,Chai Tea Latte,10 pack,9.5,0.0,0.0,TWININGS CHAI TEA LATTE 10 PACK
8067661,Twinings,Chocolate Chai Tea Latte,10 pack,9.5,0.0,0.0,TWININGS CHOCOLATE CHAI TEA LATTE 10 PACK
