prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
3790941,Maldon,Smoked Sea Salt,125g,5.8,0,0,MALDON SMOKED SEA SALT 125G
3791092,Bega,Simply Nuts Smooth Peanut Butter,650g,9.0,0,0,BEGA SIMPLY NUTS SMOOTH PEANUT BUTTER 650G
3791106,Bega,Simply Nuts Crunchy Peanut Butter,650g,9.0,0,0,BEGA SIMPLY NUTS CRUNCHY PEANUT BUTTER 650G
3796530,Mingle,All Purpose Seasoning,50g,4.95,0,0,MINGLE ALL PURPOSE SEASONING 50G
3796562,Mingle,Garlic And Herb Seasoning,50g,4.95,0,0,MINGLE GARLIC & HERB SEASONING 50G
3796610,Mingle,Mexican Fiesta Taco Seasoning,50g,4.95,0,0,MINGLE MEXICAN FIESTA TACO SEASONING 50G
3800444,Mission,Deli Style Tortilla Rounds,500g,7.5,0,0,MISSION DELI STYLE TORTILLA ROUNDS 500G
3800455,Mission,Deli Style Tortilla Triangles,500g,7.5,0,0,MISSION DELI STYLE TORTILLA TRIANGLES 500G
3800987,Mission,Chunky Mild Salsa,300g,4.4,0,0,MISSION CHUNKY MILD SALSA 300G
3801301,Mission,Street Tacos,375g,4.4,0,0,MISSION STREET TACOS 10 PACK 375G
3801345,Mission,Chunky Medium Salsa,300g,4.4,0,0,MISSION CHUNKY MEDIUM SALSA 300G
3801549,Old El Paso,Tortilla Pockets 8 Pack,223g,6.0,0,0,OLD EL PASO TORTILLA POCKETS 8PK 223G
3810459,Coles,90 Sec Microwave Egg Fried Rice,250g,2.5,0,0,COLES 90 SEC MICROWAVE  EGG FRIED RICE
3812953,Coles,Stone Ground Tortilla Chips,400g,5.3,0,0,COLES STONE GROUND TORTILLA CHIPS 400G
3812975,Coles,Black Beans,420g,1.1,0,0,COLES BLACK BEANS 420G
3812986,Coles,Jalapeno Slices,205g,2.7,0,0,COLES JALAPENO SLICES 205G
3816364,Coles,Premium Strawberry Jam,345g,3.0,0,0,COLES PREMIUM STRAWBERRY JAM 345G
3816397,Betty Crocker,Strawberry Frosting,400 GRAM,6.5,0,0,BETTY CROCKER FROSTING STRAWBERRY 400G
3816400,Coles,Premium Raspberry Jam,345g,3.0,0,0,COLES PREMIUM RASPBERRY JAM 345G
3816422,Coles,Premium Cherry Jam,345g,3.0,0,0,COLES PREMIUM CHERRY JAM 345G
3816783,Heilala,Baking Vanilla Extract With Natural Flavour,125mL,6.5,0,0,HEILALA BAKING BLEND VANILLA EXTRACT WITH ADDED NATURAL FLAVOUR 125ML
3817673,Coles,Bake & Create Vanilla Buttercream,400g,5.0,0,0,COLES BAKE & CREATE VANILLA BUTTERCREAM 400G
