prodid,brand,name,size,currentprice,fullprice,salespercentage,rawdescription
6801115,Ayam,Malaysian Laksa Soup Paste,185g,3.2,4.0,20.0,AYAM MALAYSIAN LAKSA SOUP PASTE 185G
7685097,Aeroplane,Lite Mango Passionfruit Jelly Crystals 2 pack,18g,2.2,2.5,12.0,AEROPLANE LITE JELLY:MANGO PASSIONFRUIT FLAVOUR:.:2 PACK
1051685,Lipton,Sachets Classic Chai Latte,8 Pack,5.6,8.0,30.0,LIPTON SACHETS CLASSIC CHAI LATTE 8PK
8660659,Wallaby,Bites Gluten Free Dark Chocolate Fruit & Nut,150g,5.6,7.0,20.0,WALLABY BITES GLUTEN FREE DARK CHOC FRUIT & NUT
2870070,White Wings,Cake In A Cup Chocolate Brownie,220g,4.5,6.0,25.0,WHITE WINGS CAKE IN A CUP CHOC BROWNIE 220G
2951058,L'OR,Espresso Onyx Intensity 12 Coffee Capsules 52g,10 pack,5.0,7.9,36.71,L'OR ESPRESSO CAPSULES 10PK:ONYX 52G:.:10 PACK
3716177,Continental,Sensations 2s Soup Farmhouse Potato & Leek,60g,2.5,3.5,28.57,CONTINENTAL SENSATIONS 2S SOUP FARMHOUSE POTATO & LEEK 60G
3716199,Continental,Sensation Garden Cauliflower & 4 Cheese Soup Serves 2,62g,2.5,3.5,28.57,CONTINENTAL SENSATIONS SOUP GARDEN CAULIFLOWER & 4 CHEESE 2S 62G
4959470,Green's,Deluxe Protein Pancake Shake,325g,4.0,5.0,20.0,GREENS DELUXE PROTEIN PANCAKE SHAKE 325G
7019233,Hellmann's Real,Mayonnaise,235 GRAM,4.0,6.0,33.33,HELLMANN'S REAL MAYONNAISE 235G
7505173,BSc,Bodyscience Energy Drink Lime Crush,500mL,3.0,4.3,30.23,BSC BODYSCIENCE ENERGY DRINK LIME CRUSH 500ML
7682521,La Zuppa,Soup Pouch Roasted Pumpkin,400g,3.0,4.7,36.17,LA ZUPPA SOUP POUCH ROASTED PUMPKIN 400G
7714592,White Wings,Choc Chunk Brownie Mix,475g,4.5,6.0,25.0,WHITE WINGS CHOC CHUNK BROWNIE MIX 475G
8027044,Campbell's,Country Ladle Soup Can Chicken Noodle,500g,3.5,4.5,22.22,CAMPBELLS COUNTRY LADLE SOUP:CHICKEN NOODLE:.:500 GRAM
9007847,Snackboy Frosted Pro Cup,Cinnamon Custard Donut,40GRAM,2.5,3.5,28.57,SNACKBOY FROSTED PROTEIN CUPS CINNAMON CUSTARD DONUT 40G
9063349,Samyang,Buldak Hot Chicken Topokki,185g,4.5,6.0,25.0,SAMYANG BULDAK HOT CHICKEN TOPOKKI 185GM
9978460,McCormick,Old Bay Seasoning,75g,4.0,5.0,20.0,MCCORMICK OLD BAY SEASONING 75G
1330180,The Spice Tailor,Rustic Rogan Josh,300g,4.95,6.7,26.12,THE SPICE TAILOR RUSTIC ROGAN JOSH 300G
1768668,Higher Living,Organic Licorice Tea Bags,15 pack,3.95,5.0,21.0,HIGHER LIVING ORGANIC TEA:LICORICE:.:15 PACK
216247,Old El Paso,Corn Jumbo Taco Shells 10 pack,190g,4.95,5.5,10.0,OLD EL PASO JUMBO TACO SHELLS 10PACK 190G
2601566,Celestial Seasonings,Bengal Spice Tea Bags 20 Pack,47g,5.9,7.5,21.33,CELESTIAL SEASONINGS TEA:BENGAL SPICE:.:20 PACK
5190945,Dilmah,Earl Grey Tea Bags 50 Pack,100 g,4.9,7.0,30.0,DILMAH CLASSIC TEA BAGS:EARL GREY:.:50 PACK
8764290,Cadbury Buzz Bar,Share Pack,160 GRAM,4.9,7.0,30.0,CADBURY BUZZ BAR SHARE PACK 160GM
9942827,BSc,Bodyscience Protein Water Lemon Soda,355mL,3.85,5.5,30.0,BSC BODYSCIENCE PROTEIN WATER LEMON SODA 355ML
3327700,Jarritos,Mexican Soda Guava,370mL,3.3,4.7,29.79,JARRITOS MEXICAN SODA GUAVA
7070332,Sirena,Mexican Rice With Tuna,170g,3.3,4.3,23.26,SIRENA MEXICAN RICE WITH TUNA 170G
9039355,Mayver's Squeezy,Smooth Peanut Butter,300 GRAM,4.8,6.0,20.0,MAYVER'S SQUEEZY SMOOTH PEANUT BUTTER 300G
9954677,Orion,Turtle Chips Caramel Popcorn Flavour,80g,2.8,3.5,20.0,ORION TURTLE CHIPS CARAMEL POPCORN FLAVOUR 80G
1689142,Branston,Original Pickle,360g,7.25,8.8,17.61,BRANSTON ORIGINAL PICKLE 360G
5423125,Lee Kum Kee,Salt Reduced Soy Sauce,150mL,2.75,3.5,21.43,LEE KUM KEE SALT REDUCED SOY SAUCE 150ML
1051674,Lipton,Sachets Spiced Chai Latte,8 Pack,5.6,8.0,30.0,LIPTON SACHETS SPICED CHAI LATTE 8PK
299732,Uncle Tobys,Traditional Rolled Oats,500g,3.6,4.5,20.0,UNCLE TOBYS TRADITIONAL PORRIDGE OATS
3892282,Wallaby,Nutty Bites With Sea Salt,130g,5.6,7.0,20.0,WALLABY NUTTY BITES WITH SEA SALT 130G
1279763,Kan Tong,Sweet & Sour Stir Fry Cooking Sauce,515g,3.5,4.0,12.5,KAN TONG SWEET & SOUR STIR FRY COOKING SAUCE 515G
2951069,L'OR,Espresso Supremo Intensity 10 Coffee Capsules 52g,10 Pack,5.0,7.9,36.71,L'OR ESPRESSO CAPSULES 10PK:SUPREMO 52G:.:10 PACK
3026135,Heinz,Baked Beans in Ham Sauce Beans,555g,3.0,3.8,21.05,HEINZ BAKES BEANS IN HAM SAUCE BEANS
3587187,Temole,Sea Salt Cauliflower Puffs,56g,4.0,5.0,20.0,TEMOLE CAULIFLOWER PUFFS SEA SALT 56G
3716202,Continental,Sensation Creamy Roast Chicken Spring Onion Soup Serves 2,61g,2.5,3.5,28.57,CONTINENTAL SENSATIONS SOUP CREAMY ROAST CHKN SPR ONION 2S 61G
4276342,SPC,Spaghetti in Rich Tomato,420g,1.5,2.5,40.0,SPC SPAGHETTI RICH TOMATO SAUCE
4986133,Twinings,Live Well Digest Tea Bags,22 pack,5.0,8.5,41.18,TWININGS LIVE WELL DIGEST TEA BAGS 22 PACK
4986155,Twinings,Live Well Focus Tea Bags,22 pack,5.0,8.5,41.18,TWININGS LIVE WELL FOCUS TEA BAGS 22 PACK
5060790,Twinings,Orange Pekoe Tea Bags,50 pack,7.0,8.5,17.65,TWININGS TEA BAGS:ORANGE PEKOE:.:50 PACK
6264515,Twinings,Livewell Metabolism + Zinc Tea Bag,20 pack,5.0,8.5,41.18,TWININGS LIVE WELL METABOLISM + ZINC BLEND 20PACK
6523238,Sunrice,Mini Bites Mixin Cheese 6 Pack,120g,3.5,5.0,30.0,SUNRICE MINI BITES MIXIN CHEESE 6 PACK 120G
6822217,Twinings,Earl Grey Tea Bags 50 Pack,100g,7.0,8.5,17.65,TWININGS TEA BAGS:EARL GREY:.:50 PACK
7505162,BSc,Bodyscience Energy Drink Berry Burst,500mL,3.0,4.3,30.23,BSC BODYSCIENCE ENERGY DRINK BERRY BURST 500ML
9954484,BSc,Bodyscience High Protein Low Carb Bar Salted Caramel,92g,4.5,6.5,30.77,BSC BODYSCIENCE HIGH PROTEIN LOW CARB BAR SALTED CARAMEL 92G
8648675,The Spice Tailor,Viet Ginger Chicken,245GRAM,4.95,6.7,26.12,THE SPICE TAILOR VIETNAMESE GINGER CHICKEN 245GM
